DAY_OF_WEEK,LINE_ID,WORKDAY,LAG_7,DIFF_14,YEAR,DAY_OF_WEEK_COS,DAY_OF_YEAR_SIN,MONTH_SIN
1,525,1,237,1737,2024,0.6234898018587336,0.017213356155834685,0.49999999999999994
2,525,1,1261,1784,2024,-0.22252093395631434,0.03442161162274574,0.49999999999999994
3,525,1,1387,1543,2024,-0.900968867902419,0.051619667223253764,0.49999999999999994
4,525,1,1863,1904,2024,-0.9009688679024191,0.06880242680231986,0.49999999999999994
5,525,1,1379,1942,2024,-0.2225209339563146,0.08596479873744647,0.49999999999999994
6,525,0,1049,1374,2024,0.6234898018587334,0.10310169744743485,0.49999999999999994
7,525,0,556,1107,2024,1.0,0.1202080448993527,0.49999999999999994
1,525,1,0,237,2024,0.6234898018587336,0.13727877211326478,0.49999999999999994
2,525,1,0,1261,2024,-0.22252093395631434,0.15430882066428117,0.49999999999999994
3,525,1,0,1387,2024,-0.900968867902419,0.1712931441814776,0.49999999999999994
4,525,1,0,1863,2024,-0.9009688679024191,0.1882267098432442,0.49999999999999994
5,525,1,0,1379,2024,-0.2225209339563146,0.2051044998686192,0.49999999999999994
6,525,0,0,1049,2024,0.6234898018587334,0.2219215130041655,0.49999999999999994
7,525,0,0,556,2024,1.0,0.2386727660059501,0.49999999999999994
1,525,1,0,0,2024,0.6234898018587336,0.255353295116187,0.49999999999999994
2,525,1,0,0,2024,-0.22252093395631434,0.2719581575341055,0.49999999999999994
3,525,1,0,0,2024,-0.900968867902419,0.288482432880609,0.49999999999999994
4,525,1,0,0,2024,-0.9009688679024191,0.30492122465628907,0.49999999999999994
5,525,1,0,0,2024,-0.2225209339563146,0.3212696616923644,0.49999999999999994
6,525,0,0,0,2024,0.6234898018587334,0.3375228995941133,0.49999999999999994
7,525,0,0,0,2024,1.0,0.3536761221763716,0.49999999999999994
1,525,1,0,0,2024,0.6234898018587336,0.3697245428906731,0.49999999999999994
2,525,1,0,0,2024,-0.22252093395631434,0.38566340624360707,0.49999999999999994
3,525,1,0,0,2024,-0.900968867902419,0.401487989205973,0.49999999999999994
4,525,1,0,0,2024,-0.9009688679024191,0.4171936026123168,0.49999999999999994
5,525,1,0,0,2024,-0.2225209339563146,0.4327755925504312,0.49999999999999994
6,525,0,0,0,2024,0.6234898018587334,0.4482293417404106,0.49999999999999994
7,525,0,0,0,2024,1.0,0.4635502709028509,0.49999999999999994
1,525,1,0,0,2024,0.6234898018587336,0.47873384011578846,0.49999999999999994
2,525,1,0,0,2024,-0.22252093395631434,0.49377555015997715,0.49999999999999994
3,525,1,0,0,2024,-0.900968867902419,0.5086709438521044,0.49999999999999994
4,525,1,0,0,2024,-0.9009688679024191,0.5234156073655503,0.8660254037844386
5,525,1,0,0,2024,-0.2225209339563146,0.5380051715382996,0.8660254037844386
6,525,0,0,0,2024,0.6234898018587334,0.5524353131676196,0.8660254037844386
7,525,0,0,0,2024,1.0,0.5667017562911176,0.8660254037844386
1,525,1,0,0,2024,0.6234898018587336,0.5808002734538009,0.8660254037844386
2,525,1,0,0,2024,-0.22252093395631434,0.5947266869607634,0.8660254037844386
3,525,1,0,0,2024,-0.900968867902419,0.6084768701151261,0.8660254037844386
4,525,1,0,0,2024,-0.9009688679024191,0.6220467484408675,0.8660254037844386
5,525,1,0,0,2024,-0.2225209339563146,0.6354323008901774,0.8660254037844386
6,525,0,0,0,2024,0.6234898018587334,0.6486295610349814,0.8660254037844386
7,525,0,0,0,2024,1.0,0.6616346182422783,0.8660254037844386
1,525,1,0,0,2024,0.6234898018587336,0.6744436188329455,0.8660254037844386
2,525,1,0,0,2024,-0.22252093395631434,0.6870527672236669,0.8660254037844386
3,525,1,0,0,2024,-0.900968867902419,0.699458327051647,0.8660254037844386
4,525,1,0,0,2024,-0.9009688679024191,0.7116566222817746,0.8660254037844386
5,525,1,0,0,2024,-0.2225209339563146,0.7236440382959124,0.8660254037844386
6,525,0,0,0,2024,0.6234898018587334,0.7354170229639855,0.8660254037844386
7,525,0,0,0,2024,1.0,0.7469720876965552,0.8660254037844386
1,525,1,0,0,2024,0.6234898018587336,0.7583058084785624,0.8660254037844386
2,525,1,0,0,2024,-0.22252093395631434,0.7694148268839378,0.8660254037844386
3,525,1,0,0,2024,-0.900968867902419,0.7802958510707755,0.8660254037844386
4,525,1,0,0,2024,-0.9009688679024191,0.7909456567567772,0.8660254037844386
