DIA_TRANSPORTE,NOMBRE_EMPRESA,LINEA,CANTIDAD,DATO_PRELIMINAR
01/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,2154,NO
01/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,BS_AS_LINEA_512,1889,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_501,315,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,2729,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,4010,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,4791,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,253,NO
01/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_531,2339,NO
01/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_532,1982,NO
01/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,2425,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,2609,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_543,283,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,3846,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,4404,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,1920,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,2022,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,2201,NO
01/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_562,3751,NO
01/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_563,2870,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,3697,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_573,3926,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_591,2665,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_593,1375,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA 542M,3334,NO
01/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA 717,3548,NO
01/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA_511,11463,NO
01/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA_581,3739,NO
02/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,8093,NO
02/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 720M,78,NO
02/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,BS_AS_LINEA_512,6635,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_501,816,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,9769,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,12034,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,15859,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,2110,NO
02/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_531,9793,NO
02/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_532,10872,NO
02/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,5472,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,8287,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_543,1,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,17137,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,15178,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,5420,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,7715,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,10074,NO
02/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_562,16770,NO
02/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_563,10606,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,19681,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_573,13339,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_591,8120,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_593,4869,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA 542M,13285,NO
02/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA 717,4966,NO
02/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA_511,31096,NO
02/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA_581,8077,NO
03/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,9045,NO
03/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 720M,81,NO
03/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,BS_AS_LINEA_512,6732,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_501,901,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,10934,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,12963,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,17956,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,2600,NO
03/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_531,8922,NO
03/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_532,14679,NO
03/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,5575,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,8603,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,19657,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,18159,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,5156,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,8514,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,10616,NO
03/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_562,18437,NO
03/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_563,11151,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,23289,NO
