date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,17.4,16,23.4,,,160,20,,1017.2,
2020-01-02,18.6,15.7,21.1,,,103,16.9,,1021.6,
2020-01-03,18.9,11.8,22.5,,,51,16.3,,1022,
2020-01-04,22.9,11.8,29.6,,,340,14.7,,1013.5,
2020-01-05,20,17.9,30.1,,,34,11.9,,1006,
2020-01-06,19.7,15.9,22.7,9.1,,271,19.4,,1000.9,
2020-01-07,19.7,10.5,28.1,,,309,17.5,,1004.7,
2020-01-08,23.4,15.3,31.7,,,322,21.4,,1004.7,
2020-01-09,20.8,17,32.1,,,241,15.7,,1007.4,
2020-01-10,18.7,11.4,26.7,,,259,16,,1010.8,
2020-01-11,18,10.1,32.1,,,288,20.1,,1011.2,
2020-01-12,17.7,8.6,32.4,,,197,12.5,,1017.9,
2020-01-13,16.1,8.5,24.8,,,39,14.3,,1018.3,
2020-01-14,22.7,18.4,30,,,9,19.9,,1007.2,
2020-01-15,21.4,14.1,30.4,,,238,20.5,,1005.2,
2020-01-16,14.9,6.2,22.3,,,258,18.3,,1017,
2020-01-17,15.8,6,24.2,,,354,13.5,,1020,
2020-01-18,21.9,11.8,31.2,,,325,19.4,,1015.2,
2020-01-19,25,16.2,32.7,,,346,16.5,,1012,
2020-01-20,23,18.2,33.6,,,157,18.3,,1011.1,
2020-01-21,19.1,17.8,32.7,,,104,16.9,,1014.4,
2020-01-22,19.9,19.2,21.5,,,89,11.7,,1017.2,
2020-01-23,24.3,16.8,31.2,,,14,16.5,,1014.6,
2020-01-24,25.9,21,34.2,,,306,22.8,,1008,
2020-01-25,21.8,13.7,35.2,,,158,12.3,,1007.2,
2020-01-26,19.1,7.7,29.7,,,332,14,,1009.2,
2020-01-27,17.2,14,30.2,,,168,18,,1017.3,
2020-01-28,19.6,8.6,30.5,,,342,20.8,,1009.4,
2020-01-29,18.9,11.7,31,,,173,18.1,,1012.1,
2020-01-30,15.1,5,22.6,,,8,12.5,,1015,
2020-01-31,21.6,11.9,31.6,,,326,23,,1011.4,
2020-02-01,24.3,15.1,32.6,,,334,22.6,,1011.2,
2020-02-02,22.8,18.5,33.3,,,19,17.8,,1013.1,
2020-02-03,23.9,15.5,33.3,,,44,14.6,,1013.9,
2020-02-04,23.9,20.9,33.9,,,34,23.2,,1012.7,
2020-02-05,22,20.7,29.9,,,81,13.7,,1012.4,
2020-02-06,23.2,20.7,26.7,,,80,16.4,,1012.8,
2020-02-07,22,18.1,27.1,,,206,13.1,,1015.3,
2020-02-08,18.1,16.9,25,,,192,19,,1018.8,
2020-02-09,16,14.1,19.8,,,178,19.3,,1022.6,
2020-02-10,16.7,14.2,19,,,149,10.2,,1023.9,
2020-02-11,16.7,8.6,21.7,,,33,13.7,,1023.1,
2020-02-12,20.6,14.6,27.1,,,27,19.9,,1018.1,
2020-02-13,21.7,18.7,27.6,,,6,15.8,,1013.3,
2020-02-14,20.4,16.3,28,,,244,11.6,,1008.2,
2020-02-15,22.1,15.1,30,,,318,20.6,,1006.2,
2020-02-16,24.6,19.5,32,,,305,15.4,,1005.2,
2020-02-17,22.3,19.2,32.7,,,102,16.1,,1004.6,
2020-02-18,19.2,17.6,29.2,,,228,15.4,,1006.6,
2020-02-19,17.4,9.9,27,,,290,19.6,,1009.2,
2020-02-20,14.9,10.5,27.5,,,235,17.8,,1015.8,
2020-02-21,14.4,11.9,19.5,,,204,22.5,,1022,
2020-02-22,14.5,8.9,18.7,,,183,11.6,,1024.2,
2020-02-23,16.8,9.7,25,,,339,14.5,,1017.3,
2020-02-24,20.7,15.6,27.1,,,341,21.6,,1006.6,
2020-02-25,16.9,11.2,27.4,,,206,12.1,,1010.4,
2020-02-26,17.1,7.6,26.2,,,271,10.6,,1013.6,
2020-02-27,20.3,9.6,30.6,,,302,16.8,,1010.5,
2020-02-28,18.6,16.2,30.7,,,142,17,,1017.1,
2020-02-29,18.1,8.9,27,,,28,10.8,,1020.2,
2020-03-01,21.7,18,27.4,,,51,12.7,,1019.3,
2020-03-02,24.4,17.5,32.5,,,4,14.6,,1019,
2020-03-03,22.8,17.4,32.9,,,12,12.2,,1017.7,
2020-03-04,21,16.1,30.1,,,24,11.3,,1018.7,
2020-03-05,21.3,19,26.1,,,33,14.1,,1019.8,
2020-03-06,21.4,16,28.6,,,12,13.6,,1016.7,
2020-03-07,23.2,17.9,29.5,,,0,18.3,,1010.3,
2020-03-08,22.9,18.7,30,,,280,18,,1009.1,
2020-03-09,17.6,11.5,30,,,178,14.1,,1019.5,
2020-03-10,17.1,13.5,21,,,101,19.3,,1021.9,
2020-03-11,19.6,16.8,22,,,30,19.1,,1013.8,
2020-03-12,20.8,16,26.7,,,353,12.8,,1011.4,
2020-03-13,22.9,19.4,30,,,8,14.8,,1012.9,
2020-03-14,20.3,17.5,30.1,,,231,16.7,,1013.9,
2020-03-15,16,10.7,23.5,,,234,9.7,,1020,
2020-03-16,13.6,5,20.6,,,3,10.3,,1018.3,
2020-03-17,16.2,9,21.7,,,344,6.5,,1015.9,
2020-03-18,19.1,16.1,21.7,,,88,10.3,,1015.2,
2020-03-19,18.9,15.9,22.6,,,217,10.4,,1011.3,
2020-03-20,16.5,11.5,23,,,254,9.2,,1011.7,
2020-03-21,18,9,28.2,,,338,11.7,,1011.2,
2020-03-22,21.1,13.7,28.5,,,332,14.7,,1015.3,
2020-03-23,21.4,13.6,29.3,,,348,14.5,,1017.5,
2020-03-24,21.8,18,29.6,,,11,13.9,,1015.1,
2020-03-25,19.7,17.8,29,,,179,16.1,,1018.2,
2020-03-26,19.4,17.9,21.2,,,103,19.8,,1019.8,
2020-03-27,21.5,17.9,26.5,,,37,14,,1014.9,
2020-03-28,21.6,18.5,27.1,,,23,13.2,,1013.5,
2020-03-29,20.4,18.2,27.5,,,91,11.4,,1015.9,
2020-03-30,18,17,22.4,,,130,15.6,,1020.5,
2020-03-31,17.8,16.5,19.7,,,98,23.4,,1022.7,
2020-04-01,19.2,16.5,23,,,17,11.8,,1015,
2020-04-02,16.7,14.5,24.4,,10,200,28.9,,1017,
2020-04-03,15.7,11,19.6,,,18,10.1,,1017.8,
2020-04-04,16.6,12.2,23.7,,,330,17.2,,1010.2,
2020-04-05,19,15.1,24.6,,,346,8.2,,1008.9,
2020-04-06,14.6,10.4,24.9,,,247,20.5,,1015.8,
2020-04-07,11.8,7.6,16.4,,10,217,14.3,,1024.1,
2020-04-08,10.8,4.8,16,,,197,8.4,,1026.5,
2020-04-09,12.3,5.1,18,,,113,7.9,,1026,
2020-04-10,13.6,5.4,19.2,,,30,9.4,,1023.6,
2020-04-11,14.4,4.9,22.5,,,352,10.6,,1019.3,
2020-04-12,16.2,10.3,23,,,320,15.1,,1017.3,
2020-04-13,15,13.5,23.5,29.5,30,169,10.7,,1015.2,
2020-04-14,14.7,12.8,16.7,,10,188,23.5,,1013.5,
2020-04-15,15.1,10.2,17.1,,,197,18.8,,1017.1,
2020-04-16,12.7,6.9,18.5,,,14,7.2,,1023.6,
2020-04-17,14.7,7.7,21.7,,,343,13.1,,1024.7,
2020-04-18,17.4,10.9,23.7,,,349,19.7,,1021.3,
2020-04-19,18.7,13.5,24.5,,,325,21.9,,1016.6,
2020-04-20,16.7,10.7,26.1,,,256,9.5,,1015.8,
2020-04-21,13.9,8.1,26.7,,,171,10.2,,1021.7,
2020-04-22,11.2,5,17.1,,,7,6.1,,1020.8,
2020-04-23,12.1,5,18.1,,,24,11.6,,1016.5,
2020-04-24,17.6,9.8,19.5,,10,346,13.1,,1009.1,
2020-04-25,15.9,13.7,19.5,,10,184,14.3,,1018.6,
2020-04-26,14.4,11.8,18,,,112,19.3,,1029.6,
2020-04-27,16.1,14.3,17.1,,,62,25.5,,1024.7,
2020-04-28,17.2,14.2,18.7,78,71,353,17.9,,1008.3,
2020-04-29,15.4,12.7,19.1,14,30,258,29.2,,1008.7,
2020-04-30,14.9,13.1,18.6,,,214,10.9,,1018.2,
2020-05-01,12.1,6.8,17.8,,,221,10,,1021.8,
2020-05-02,13.7,9.5,17.6,,,134,10.4,,1024.6,
2020-05-03,13.8,8.6,18.5,,,5,13,,1018.8,
2020-05-04,14.5,10.9,18.5,,,314,13.1,,1010.7,
2020-05-05,12.4,10.5,19.3,11.9,,228,21.4,,1010,
2020-05-06,12.2,10.8,14.3,0,,205,15.6,,1022.4,
2020-05-07,10.5,5.7,17.2,,,310,12.4,,1022.2,
2020-05-08,11,5.5,17.7,,,326,21.1,,1017,
2020-05-09,13.6,7.2,19.2,,,332,22.8,,1010.1,
2020-05-10,12.4,5.8,21.2,,,322,13,,1006.3,
2020-05-11,12.3,7.2,21.5,,,261,16.1,,1012.8,
2020-05-12,9.9,2.3,17.5,,,313,12.8,,1017,
2020-05-13,9.4,3.5,17.6,,,245,9.4,,1019.4,
2020-05-14,6.9,0,14.6,,,308,15,,1021.3,
2020-05-15,12.6,2.3,21.6,,,311,21,,1010.2,
2020-05-16,16.3,9.6,25.5,,,294,16.8,,1005.2,
2020-05-17,14.3,7.6,25.7,,,247,8.8,,1013.6,
2020-05-18,10.5,1.6,19.5,,,0,12.7,,1019,
2020-05-19,14.3,5.5,20.7,,,343,13.2,,1013.6,
2020-05-20,14.2,8.2,20.8,,,191,13.6,,1012.2,
2020-05-21,12.8,11.5,16,34,30,171,27.7,,1017.2,
2020-05-22,12.8,11.8,14.2,,,175,27.2,,1026.4,
2020-05-23,10.9,5.9,15,,,254,6.2,,1023.8,
2020-05-24,10.2,6.5,15.2,,,315,23.5,,1007.2,
2020-05-25,12.9,7.5,15.4,,10,217,25.3,,1008.2,
2020-05-26,10.7,6.1,13.7,,,212,9.2,,1016.3,
2020-05-27,9.7,4.1,17.6,,,325,15.3,,1014,
2020-05-28,11.2,5.7,17.9,,,146,12,,1017.2,
2020-05-29,13.8,11,15.5,,,100,11.3,,1016.9,
2020-05-30,13.3,7.7,16.1,,,354,12.6,,1010.6,
2020-05-31,10,7,16.2,,,228,23.8,,1011.3,
2020-06-01,9.8,7.5,12,,,232,9.9,,1021.5,
2020-06-02,7.4,1.5,13.5,,,327,18.8,,1018.4,
2020-06-03,9.8,3.3,14,,,207,12,,1024.2,
2020-06-04,5.9,-0.4,13.7,,,330,12.5,,1025.2,
2020-06-05,8.3,2,15.2,,,341,8.6,,1022.4,
2020-06-06,10.4,3.5,17,,,21,6.6,,1018.6,
2020-06-07,13.9,9.1,17.1,,,15,2,,1016.3,
2020-06-08,13.7,7.1,16.5,,,334,4.7,,1014.6,
2020-06-09,9.1,3.7,17,,,299,11.1,,1012.4,
2020-06-10,9.4,3.6,18,,,317,14.6,,1009.5,
2020-06-11,9.9,2.8,18.2,,,343,12.5,,1009.2,
2020-06-12,12.3,5.7,18.6,,,293,14.4,,1005.6,
2020-06-13,7.6,4.5,17.3,,10,261,28.9,,1015.5,
2020-06-14,5.1,-2,12.7,,10,330,13,,1025.7,
2020-06-15,7.7,-0.5,13.7,,,5,16.9,,1023.9,
2020-06-16,12.7,3.8,15.1,,,32,11.1,,1016.5,
2020-06-17,15.7,12,19.1,,,13,9.5,,1005.9,
2020-06-18,13.8,7.2,19.1,,20,272,17.7,,1001.9,
2020-06-19,9.7,5.5,14.5,,,319,16.9,,1008.7,
2020-06-20,9.3,4.3,14.4,,,299,6.8,,1013.2,
2020-06-21,10.2,5.5,15.2,,,309,12,,1013.9,
2020-06-22,6.8,0.5,15.8,,,8,9.4,,1017,
2020-06-23,10.8,0.8,14.2,5.1,10,215,8.4,,1008,
2020-06-24,10,7.7,14.5,0,,216,8.9,,1009.7,
2020-06-25,8.4,2,13.6,,,247,12.4,,1014.3,
2020-06-26,6,1.4,11,,,269,15.6,,1018.7,
2020-06-27,6,3.4,10.2,,,259,8.9,,1023.4,
2020-06-28,4.9,-0.8,10,,,276,5.5,,1025.1,
2020-06-29,6.2,-0.1,11.2,,,56,13.6,,1022.4,
2020-06-30,10.3,6.1,11.4,,,136,31.4,,1015.9,
2020-07-01,7.9,6.5,10.5,,,206,18.3,,1017.2,
2020-07-02,7.4,5,9.7,0.5,,283,8.7,,1017.6,
2020-07-03,7.1,2.4,10.9,,,330,13.3,,1011.6,
2020-07-04,8.3,3.2,11.4,,,296,9.9,,1009.8,
2020-07-05,7.8,3.8,11.1,,,252,11.4,,1016,
2020-07-06,6.6,3.9,11.7,0,,240,8.7,,1023.8,
2020-07-07,5.8,0.5,10.2,,,162,7.6,,1026.6,
2020-07-08,3.9,-1.4,9.2,,,340,5.5,,1021.1,
2020-07-09,5.9,0.6,12.3,0.5,,318,14.7,,1014.4,
2020-07-10,7.9,1.9,12.3,0.5,,316,24.4,,1007.1,
2020-07-11,5.8,-0.4,12.2,0,,309,24.4,,1008.4,
2020-07-12,7.2,0.9,13.1,,,265,24.8,,1008.4,
2020-07-13,5.7,3.5,10.2,0,,266,25.7,,1014.1,
2020-07-14,5.8,2.2,9.5,,,261,16.8,,1020.2,
2020-07-15,4.8,-1.9,11.5,,,344,9,,1023.2,
2020-07-16,7.3,0.9,13.5,,,349,8.8,,1020.6,
2020-07-17,6.5,1.9,13.7,,,1,13.7,,1017.6,
2020-07-18,11.9,3.7,15.7,,,1,6.8,,1010.9,
2020-07-19,9.7,3.2,16,,,126,13,,1013,
2020-07-20,11.3,10.1,13.4,,,142,23.6,,1012.9,
2020-07-21,10.7,9.8,11.8,,,146,30.5,,1016.9,
2020-07-22,9.8,8.5,11.3,27.9,20,138,41.8,,1018.1,
2020-07-23,11.8,9.3,13.3,21.3,,359,11.9,,1009.2,
2020-07-24,8,4.7,13.4,,10,296,27.7,,1008.2,
2020-07-25,5.6,-1,12,,,303,17.2,,1014.1,
2020-07-26,8.4,1.2,12.3,,,329,24,,1013,
2020-07-27,7.7,3.7,11,0,,279,17.8,,1013.1,
2020-07-28,5.7,2.5,9.3,,,251,16.3,,1020.9,
2020-07-29,5.7,-1.3,12.9,,,310,8.9,,1026,
2020-07-30,5.3,-1,13.4,,,342,13.6,,1025.4,
2020-07-31,7.4,2.4,16.7,,,327,13.7,,1023.2,
2020-08-01,5.8,-1.4,12.9,,,17,12.1,,1021.3,
